,product_names,prices,product_desc,ratings,total_ratings,links,asin
10,"Tracfone Alcatel TCL A3, 32GB, Black - Prepaid Smartphone (Locked) : Cell Phones & Accessories",$39.88,"About this item
The large 3000 mAh battery with Smart Manager optimization can easily handle your daily demands with more than 14 hours of mixed usage in a single charge. A powerful Octa-core processor provides a smooth multitasking experience.Optical sensor resolution:5 megapixels.Display Type:LCD.Form_factor : Bar
Take sharp pictures with the 8MP rear camera and record steady videos in high definition. The 5MP selfie camera with Portrait mode allows you to share stylish portraits with a blurred background effect.
3GB RAM / 32GB Internal Storage | MicroSD up to 512GB
Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network.
Unlimited Talk, Text and Data plans starting as low as dollar 20/month",4 out of 5,"1,213 ratings",https://www.amazon.com/Tracfone-Alcatel-TCL-32GB-Black/dp/B09CLN4LLN/ref=sr_1_9?keywords=iphone&qid=1689513476&sr=8-9,B09CLN4LLN
11,Motorola Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 50MP Camera | Twilight Blue : Cell Phones & Accessories,$133.54,"About this item
Carrier compatibility: AT&T: VoLTE, Verizon: VoLTE, T Mobile: VoLTE, WiFi Calling, Video Calling, Tracfone: GSM, CDMA Does not support:Boost, U.S. Cellular, Xfinity Wireless, Spectrum, Optimum Mobile. For all carrier compatibility details - please check the product images in detail.Maximum display resolution:1080x2460 .Display Type:IPS.Form_factor : smartphone.Display resolution maximum:1080x2460.Other camera description:Front,Rear
Built-in stylus. Sketch freely, add handwritten notes to photos, and edit images with precision using a push-pen stylus. Up to 2-day battery life. Get creative, play games, or binge watch your favorite series without worry thanks to a 5000 mAh battery. Versatile 50 MP camera system. Capture everything from breathtaking ultra-wide images to extreme close-ups.
6.8"" Max Vision FHD+ display. Bring movies, videos, and games to life, and view your notes and sketches in Full HD+ detail.
Fast, fluid 90 Hz refresh rate. View content on a screen that’s smooth and seamless, virtually free from annoying lag.
Octa-core processor and 128 GB storage. Enjoy powerful performance to create effortlessly—and plenty of room to hold everything. Operating System: Android 11
Wi-Fi Hotspot Ready: Moto G Stylus (2022) offers Wi-fi hotspot connectivity in 2.4 GHz , 5 GHz for the best experience. In-box: Moto G Stylus (2022), 10W rapid Charger, USB Cable, Guides, SIM tool.
Sensors: Proximity, Ambient Light, Accelerometer, Gyroscope, SAR, Sensor Hub, Fingerprint reader",4.3 out of 5,"1,458 ratings",https://www.amazon.com/Stylus-battery-Unlocked-Motorola-Twilight/dp/B09PFC2DVD/ref=sr_1_8?keywords=iphone&qid=1689513476&sr=8-8,B09PFC2DVD
12,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed) : Cell Phones & Accessories",$384.00,"About this item
Fully unlocked and compatible with any carrier of choice (e.g. AT&T, T-Mobile, Sprint, Verizon, US-Cellular, Cricket, Metro, etc.).
The device does not come with headphones or a SIM card. It does include a charger and charging cable that may be generic.
Inspected and guaranteed to have minimal cosmetic damage, which is not noticeable when the device is held at arm's length.
Successfully passed a full diagnostic test which ensures like-new functionality and removal of any prior-user personal information.
Tested for battery health and guaranteed to have a minimum battery capacity of 80%.",4.2 out of 5,"9,543 ratings",https://www.amazon.com/Apple-iPhone-12-64GB-Black/dp/B08PP5MSVB/ref=sr_1_1?keywords=iphone&qid=1689513476&sr=8-1,B08PP5MSVB
13,"Tracfone Samsung Galaxy A03s, 32GB, Black - Prepaid Smartphone (Locked) : Cell Phones & Accessories",$49.88,"About this item
We’ve crunched some numbers and discovered that three camera lenses means three times the fun. With the Samsung Galaxy A03s you got 13MP Multi-Lens Camera composed by 13MP (F2.2) Wide, 2MP (F2.4) Macro, 2MP (F2.4) Depth.Optical sensor resolution:2 megapixels.Display Type:LCD.Form_factor : Bar
When you’re on the go, responsive processing speed is what you need. Galaxy A03s has you covered with the Octa-core Processor.
The Samsung Galaxy A03s counts on a 5,000mAh reliable, long-lasting battery that helps you keep going at your pace.
Carrier: This phone is locked to Tracfone, which means this device can only be used on the Tracfone wireless network.
Your cherished moments are essential, so keep them with expandable storage of 32GB and with a RAM of 3GB.
High-def display —Bold and brilliant with a crisp infinity 6.5"" HD plus LCD 720 x 1600 display that’s perfect for keeping in touch or escaping into your entertainment. 802.11 a/b/g/n, 2.4 GHz, Bluetooth v5.0",4.2 out of 5,887 ratings,https://www.amazon.com/Tracfone-Samsung-Galaxy-A03s-Black/dp/B09T2JFWKR/ref=sr_1_15?keywords=iphone&qid=1689513476&sr=8-15,B09T2JFWKR
14,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked) : Cell Phones & Accessories",$29.88,"About this item
Carrier: This phone is locked to Total by Verizon, which means this device can only be used on the Total by Verizon wireless network.
Power, save, and savor everything you do with a 3,000mAh battery.
A 8MP rear camera powered by Google Lens with the ability to capture moments you'll love watching back on a 6.1"" HD+ NXTVISION display.
32GB of expandable memory, 3GB Ram, Bluetooth 5.0
Compatible with our no-contract talk, text & data plans that start at $30/mo.",3.9 out of 5,76 ratings,https://www.amazon.com/Total-Verizon-TCL-32GB-Black/dp/B0BBXBXCFC/ref=sr_1_16?keywords=iphone&qid=1689513476&sr=8-16,B0BBXBXCFC
15,"Belkin Screen Protector for Apple iPhone 11 or iPhone XR with Antimicrobial-Treated and Ion Exchange Strengthened and Included Easy Align Tray for Simple, Bubble Free Installation : Cell Phones & Accessories",$39.99,"About this item
SUPERIOR PROTECTION: InvisiGlass Ultra's ultra-tough top layer for iPhone 11 is tested and proven to provide the highest level of edge-to-edge protection against drops, impacts, and scratches
CRYSTAL CLEAR: The tempered glass is treated with an anti-smudge and fingerprint coating that also helps this screen cover resist discoloration and maintain optimal clarity, so it feels like nothing is there at all
MADE TO LAST: The perfect fit for your iPhone, it's durably made with strengthened glass that’s 40% stronger than standard tempered glass to provide superior resistance and ultimate protection
ULTRA-THIN DESIGN: InvisiGlass boasts a slim design of just 0.29mm thick to ensure a flawless tactile response; this means touchscreen sensitivity is never compromised!
EASY ALIGN TRAY INCLUDED: Applying this screen protector to your phone from the comfort of your home is made easy with the included Easy Align Tray. Application instructions included.",4.4 out of 5,757 ratings,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTA1MTc4MTEwOTI5ODU6MTY4OTUxNDA0MzpzcF9hdGZfbmV4dDozMDAwMDEwNjYzODM2MDI6OjA6Og&url=%2FBelkin-Protector-Antimicrobial-Treated-Strengthened-Installation%2Fdp%2FB08VH86SMM%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Diphone%26qid%3D1689514043%26sr%3D8-17-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,B08VH86SMM
16,"Total by Verizon TCL 30 Z, 32GB, Black - Prepaid Smartphone (Locked) : Cell Phones & Accessories",$29.88,"About this item
Carrier: This phone is locked to Total by Verizon, which means this device can only be used on the Total by Verizon wireless network.
Power, save, and savor everything you do with a 3,000mAh battery.
A 8MP rear camera powered by Google Lens with the ability to capture moments you'll love watching back on a 6.1"" HD+ NXTVISION display.
32GB of expandable memory, 3GB Ram, Bluetooth 5.0
Compatible with our no-contract talk, text & data plans that start at $30/mo.",3.9 out of 5,76 ratings,https://www.amazon.com/Total-Verizon-TCL-32GB-Black/dp/B0BBXBXCFC/ref=sr_1_20?keywords=iphone&qid=1689514043&sr=8-20,B0BBXBXCFC
17,"iPhone Charger Fast Charging - Fuel Brites - 30W USB C PPS PD 3.0 GaN II Wall Charger, Fast Compact Foldable USB C Charger for iPhone 14 Pro Max, 13 Pro Max, 12, 11, iPad Pro, S23 Ultra - Orange : Cell Phones & Accessories",$23.99,"About this item
Rapid Charging: This USB C PD 3.0 certified charger is built with fast charging technology for any Apple (iPhone 14 / 13 / 12 / 11 / X series) and Android (Samsung Galaxy S23 Ultra, S22, S21, Note 20, Google Pixel 7, 7 Pro, 7a, 6, 6 Pro) devices to fully charge your phone in 90 minutes (Up to 30W Max)
Compact & Powerful: 50% smaller than a normal 30 W charger with a foldable plug for easy storage, this USB C charger is small, portable, and can easily be stored in any backpack, purse, pouch, or pocket; Semi-transparent material gives insight into the internal parts and processes of the charger with a burst of color that brightens up the space you are charging in
Upgraded Technology & Safety: By swapping out silicon for Gallium Nitride (GaN) we've been able to fit 30W of power into this sleek charger that works flawlessly with nearly all mobile devices, tablets, and more at full 30W speed; Additionally, the smart GaN and Programmable Power Supply (PPS) Technology automatically optimizes the output voltage depending on the device connected, to safely charge your devices and produce less heat. Also, the charger is PD 3.0 certified, meaning it can deliver a fast and safe charge to your device
1-Year Warranty: This charger block is covered by a 1-year warranty for any manufacturer defects
Package Contents: 1 Unit of Fuel Brites 30W Fast USB C Charger - Vibrant Orange (USB Cable not included)",4.4 out of 5,147 ratings,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1OTA1MTc4MTEwOTI5ODU6MTY4OTUxNDA0MzpzcF9hdGZfbmV4dDoyMDAxNTk0MTE4Mjg2OTg6OjA6Og&url=%2FiPhone-Charger-Fast-Charging-Foldable%2Fdp%2FB0BBSMXGCQ%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Diphone%26qid%3D1689514043%26sr%3D8-18-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,B0BBSMXGCQ
18,Nokia 6300 4G | Unlocked | Dual SIM | WiFi Hotspot | Social Apps | Google Maps and Assistant | Cyan Green : Cell Phones & Accessories,$69.00,"About this item
This device works with all GSM carriers including, but not limited to: AT&T, Boost, Cricket, H2O Wireless, Metro, Net10, T-Mobile, Tracfone. This product will not work with Verizon or Verizon subsidiaries. Please confirm compatibility and network availability with your preferred carrier..Other camera description:Rear
Keep the conversations flowing with WhatsApp and Facebook.
Stream what you like, when you like on YouTube
Enjoy the ease of 4G and share a connection with the WiFi hotspot
Get answers, call friends or organize plans in an instant with Google Assistant",3.6 out of 5,396 ratings,https://www.amazon.com/Nokia-Unlocked-Hotspot-Social-Assistant/dp/B0939D9FR3/ref=sr_1_19?keywords=iphone&qid=1689514043&sr=8-19,B0939D9FR3
19,"Xiaomi Redmi Note 11 Pro+ Plus 5G + 4G Global Version 256GB + 8GB Unlocked 6.67"" 108MP Camera Night (Not Verizon Sprint Boost Cricket Metro At&T) + (w/Fast Car Charger 51w Bundle) (Star Blue) : Cell Phones & Accessories",$304.00,"About this item
Will NOT work on Verizon AT&T/BOOST/CRICKET/METRO PCS or any CDMA Carrier. 5G + 4G VoLTE Worldwide Unlocked Dual Nano sim FCC ID: 2AFZZ16UG.
Will NOT work on Verizon AT&T/BOOST/CRICKET/METRO PCS or any CDMA Carrier. 5G + 4G VoLTE Worldwide Unlocked Dual Nano sim FCC ID: 2AFZZ16UG.
Dual Nano Sim 5G:5G: n1/3/5/7/8/20/ 4G: LTE FDD:1/2/3/4/5/7/8/12/13/17/18/32/66 4G: LTE TDD:38/40/41 3G: WCDMA:1/2/4/5/8/19 SIM 1 + Hybrid (SIM or MicroSD) 2G: GSM: 850 900 1800 1900MHz
6.67"" FHD+ AMOLED DotDisplay Refresh rate: Up to 120Hz Contrast ratio: 4,500,000:1 Resolution: 2400 x 1080
Octa-core (2x2.5 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55).5 GHz GPU: ARM Mali-G68 Bluetooth 5.1 Wi-Fi Protocol: 802.11a/b/g/n/ac
GPS L1 | Glonass G1 | BDS B1 | Galileo E1 Dual speakers 3.5mm headphone jack Hi-Res Audio Proximity sensor | Ambient light sensor | Accelerometer | Electronic compass | IR blaster ｜Gyroscopecertification
108MP wide camera f/1.9 0.7μm, 9-in-1 binning into one large 2.1μm pixel 1/1.52” sensor size 8MP ultra-wide camera f/2.2 FOV 118° 2MP macro camera f/2.4 16MP front camera f/2.4 4K@30fps, 1080p@30/60/120fps, 720p@960fps",4.5 out of 5,724 ratings,https://www.amazon.com/Xiaomi-Version-Unlocked-Verizon-Cricket/dp/B09VNW56HZ/ref=sr_1_21?keywords=iphone&qid=1689514043&sr=8-21,B09VNW56HZ
20,"Simple Mobile Samsung Galaxy A23 5G, 64GB, Black - Prepaid Smartphone (Locked) : Cell Phones & Accessories",$131.49,"About this item
Get a phone that can handle more of what you throw at it with Durable Gorilla Glass 5.
A long-lasting and fast-charging 5,000mAh battery, and 64/128GB of internal storage that you can expand up to 1TB.
All set for you to capture live as it is with the powerfull 50MP main camera
This phone is locked for use with SIMPLE Mobile.
Compatible with SIMPLE Mobile Unlimited talk, text & data plans starting at $25/mo.",5 out of 5,5 ratings,https://www.amazon.com/Simple-Mobile-Samsung-Galaxy-Black/dp/B0BBXX3RLK/ref=sr_1_37?keywords=iphone&qid=1689514238&sr=8-37,B0BBXX3RLK
21,"Bicycle Phone Mount by Delta Cycle - Lockable Bike Phone Mount Handlebar Adjusts to Any Size Bar - Fits Any Phone Or iPhone Up to 3.5"" x 7.8"" - Easily Accessible Bike Phone Holder : Cell Phones & Accessories",$29.26,"About this item
Instant Bike Dashboard: Perfect for any enthusiast, delta’s bicycle phone mount allows you to securely display your mobile device while riding. Compatible with phones up to 3.5” wide, .5” depth, 7.8” length (up to iPhone 14+ Plus and Samsung Galaxy 23+ plus).
Multiple Mounting Options: Included handlebar and stem cap mounts allow you to position your mobile phone in your desired location. Securely mounts to handlebar diameters up to 1 3/8” / 31.8mm.
Ride with Confidence: Featuring a built-in lock mechanism, your plus-sized smartphone is secured safely with multiple grip points and bumpers, to prevent shock and reduce vibration on rough terrain. Adjust the angle of display for convenient viewing while riding to easily access navigation, answer that important call or stop for the perfect photo opportunity.
Quality Construction: Your mobile phone is fully enclosed and securely mounted in place with a built-in locking mechanism. Precision engineered design grips your device, providing ease-of-mind on the roughest terrain.",4.4 out of 5,817 ratings,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDA1NDQ2Mzg4MjY2ODMwOjE2ODk1MTQyMzg6c3BfYXRmX25leHQ6MjAwMTY2NzI5NjkwMDk4OjowOjo&url=%2FBicycle-Phone-Holder-Bike-Mount%2Fdp%2FB00K8PYT2M%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Diphone%26qid%3D1689514238%26sr%3D8-34-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,4.25 x 2 x 6.75 inches
